"","country","date","searches"
"591","Germany",2003-05-18,NA
"592","Hungary",2003-05-18,NA
"593","Japan",2003-05-18,NA
"594","Mexico",2003-05-18,NA
"595","Netherlands",2003-05-18,NA
"596","New.Zealand",2003-05-18,NA
"597","Norway",2003-05-18,NA
"598","Paraguay",2003-05-18,NA
"599","Peru",2003-05-18,450
"600","Poland",2003-05-18,NA
"601","Romania",2003-05-18,639
"602","Russia",2003-05-18,NA
"603","South.Africa",2003-05-18,NA
"604","Spain",2003-05-18,NA
"605","Sweden",2003-05-18,NA
"606","Switzerland",2003-05-18,NA
"607","Ukraine",2003-05-18,NA
"608","United.States",2003-05-18,NA
"609","Uruguay",2003-05-18,119
"610","Argentina",2003-05-25,251
"611","Australia",2003-05-25,NA
"612","Austria",2003-05-25,NA
"613","Belgium",2003-05-25,NA
"614","Bolivia",2003-05-25,547
"615","Brazil",2003-05-25,385
"616","Bulgaria",2003-05-25,NA
"617","Canada",2003-05-25,NA
"618","Chile",2003-05-25,1
"619","France",2003-05-25,NA
"620","Germany",2003-05-25,NA
"621","Hungary",2003-05-25,NA
"622","Japan",2003-05-25,NA
"623","Mexico",2003-05-25,NA
"624","Netherlands",2003-05-25,NA
"625","New.Zealand",2003-05-25,NA
"626","Norway",2003-05-25,NA
"627","Paraguay",2003-05-25,NA
"628","Peru",2003-05-25,441
"629","Poland",2003-05-25,NA
"630","Romania",2003-05-25,613
"631","Russia",2003-05-25,NA
"632","South.Africa",2003-05-25,NA
"633","Spain",2003-05-25,NA
"634","Sweden",2003-05-25,NA
"635","Switzerland",2003-05-25,NA
"636","Ukraine",2003-05-25,NA
"637","United.States",2003-05-25,NA
"638","Uruguay",2003-05-25,118
"639","Argentina",2003-06-01,253
"640","Australia",2003-06-01,NA
"641","Austria",2003-06-01,NA
"642","Belgium",2003-06-01,NA
"643","Bolivia",2003-06-01,567
"644","Brazil",2003-06-01,403
"645","Bulgaria",2003-06-01,NA
"646","Canada",2003-06-01,NA
"647","Chile",2003-06-01,2
"648","France",2003-06-01,NA
"649","Germany",2003-06-01,NA
"650","Hungary",2003-06-01,NA
"651","Japan",2003-06-01,NA
"652","Mexico",2003-06-01,NA
"653","Netherlands",2003-06-01,NA
"654","New.Zealand",2003-06-01,NA
"655","Norway",2003-06-01,NA
"656","Paraguay",2003-06-01,NA
"657","Peru",2003-06-01,497
"658","Poland",2003-06-01,NA
"659","Romania",2003-06-01,584
"660","Russia",2003-06-01,NA
"661","South.Africa",2003-06-01,NA
"662","Spain",2003-06-01,NA
"663","Sweden",2003-06-01,NA
"664","Switzerland",2003-06-01,NA
"665","Ukraine",2003-06-01,NA
"666","United.States",2003-06-01,NA
"667","Uruguay",2003-06-01,128
"668","Argentina",2003-06-08,261
"669","Australia",2003-06-08,NA
"670","Austria",2003-06-08,NA
"671","Belgium",2003-06-08,NA
"672","Bolivia",2003-06-08,529
"673","Brazil",2003-06-08,371
"674","Bulgaria",2003-06-08,NA
"675","Canada",2003-06-08,NA
"676","Chile",2003-06-08,2
"677","France",2003-06-08,NA
"678","Germany",2003-06-08,NA
"679","Hungary",2003-06-08,NA
"680","Japan",2003-06-08,NA
"681","Mexico",2003-06-08,NA
"682","Netherlands",2003-06-08,NA
"683","New.Zealand",2003-06-08,NA
"684","Norway",2003-06-08,NA
"685","Paraguay",2003-06-08,NA
"686","Peru",2003-06-08,358
"687","Poland",2003-06-08,NA
"688","Romania",2003-06-08,568
"689","Russia",2003-06-08,NA
"690","South.Africa",2003-06-08,NA
"691","Spain",2003-06-08,NA
"692","Sweden",2003-06-08,NA
"693","Switzerland",2003-06-08,NA
"694","Ukraine",2003-06-08,NA
"695","United.States",2003-06-08,NA
"696","Uruguay",2003-06-08,157
"697","Argentina",2003-06-15,258
"698","Australia",2003-06-15,NA
"699","Austria",2003-06-15,NA
"700","Belgium",2003-06-15,NA
"701","Bolivia",2003-06-15,521
"702","Brazil",2003-06-15,334
"703","Bulgaria",2003-06-15,NA
"704","Canada",2003-06-15,NA
"705","Chile",2003-06-15,3
"706","France",2003-06-15,NA
"707","Germany",2003-06-15,NA
"708","Hungary",2003-06-15,NA
"709","Japan",2003-06-15,NA
"710","Mexico",2003-06-15,NA
"711","Netherlands",2003-06-15,NA
"712","New.Zealand",2003-06-15,NA
"713","Norway",2003-06-15,NA
"714","Paraguay",2003-06-15,NA
"715","Peru",2003-06-15,410
"716","Poland",2003-06-15,NA
"717","Romania",2003-06-15,561
"718","Russia",2003-06-15,NA
"719","South.Africa",2003-06-15,NA
"720","Spain",2003-06-15,NA
"721","Sweden",2003-06-15,NA
"722","Switzerland",2003-06-15,NA
"723","Ukraine",2003-06-15,NA
"724","United.States",2003-06-15,NA
"725","Uruguay",2003-06-15,221
"726","Argentina",2003-06-22,278
"727","Australia",2003-06-22,NA
"728","Austria",2003-06-22,NA
"729","Belgium",2003-06-22,NA
"730","Bolivia",2003-06-22,526
"731","Brazil",2003-06-22,279
"732","Bulgaria",2003-06-22,NA
"733","Canada",2003-06-22,NA
"734","Chile",2003-06-22,3
"735","France",2003-06-22,NA
"736","Germany",2003-06-22,NA
"737","Hungary",2003-06-22,NA
"738","Japan",2003-06-22,NA
"739","Mexico",2003-06-22,NA
"740","Netherlands",2003-06-22,NA
"741","New.Zealand",2003-06-22,NA
"742","Norway",2003-06-22,NA
"743","Paraguay",2003-06-22,NA
"744","Peru",2003-06-22,427
"745","Poland",2003-06-22,NA
"746","Romania",2003-06-22,553
"747","Russia",2003-06-22,NA
"748","South.Africa",2003-06-22,NA
"749","Spain",2003-06-22,NA
"750","Sweden",2003-06-22,NA
"751","Switzerland",2003-06-22,NA
"752","Ukraine",2003-06-22,NA
"753","United.States",2003-06-22,NA
"754","Uruguay",2003-06-22,308
"755","Argentina",2003-06-29,348
"756","Australia",2003-06-29,NA
"757","Austria",2003-06-29,NA
"758","Belgium",2003-06-29,NA
"759","Bolivia",2003-06-29,506
"760","Brazil",2003-06-29,266
"761","Bulgaria",2003-06-29,NA
"762","Canada",2003-06-29,NA
"763","Chile",2003-06-29,4
"764","France",2003-06-29,NA
"765","Germany",2003-06-29,NA
"766","Hungary",2003-06-29,NA
"767","Japan",2003-06-29,NA
"768","Mexico",2003-06-29,NA
"769","Netherlands",2003-06-29,NA
"770","New.Zealand",2003-06-29,NA
"771","Norway",2003-06-29,NA
"772","Paraguay",2003-06-29,NA
